Year;Week;Time;Mortality;Influenza;Temperature deficit 
1995;1;1995;1940;0;1,3
1995;2;1995,019231;1898;0;0,0
1995;3;1995,038462;1812;0;0,0
1995;4;1995,057692;1869;6;1,4
1995;5;1995,076923;1857;2;0,0
1995;6;1995,096154;1802;4;0,0
1995;7;1995,115385;1816;3;0,0
1995;8;1995,134615;1834;6;0,0
1995;9;1995,153846;1794;2;0,0
1995;10;1995,173077;1833;2;0,0
1995;11;1995,192308;1891;6;0,0
1995;12;1995,211538;1766;5;0,0
1995;13;1995,230769;1837;12;0,0
1995;14;1995,25;1895;13;0,0
1995;15;1995,269231;1909;18;0,0
1995;16;1995,288462;1894;29;0,0
1995;17;1995,307692;1882;15;0,0
1995;18;1995,326923;1755;10;0,0
1995;19;1995,346154;1774;8;0,0
1995;20;1995,365385;1768;4;0,0
1995;21;1995,384615;1734;3;0,0
1995;22;1995,403846;1741;0;0,0
1995;23;1995,423077;1710;0;0,0
1995;24;1995,442308;1569;0;0,0
1995;25;1995,461538;1708;0;0,0
1995;26;1995,480769;1749;0;0,0
1995;27;1995,5;1785;0;0,0
1995;28;1995,519231;1682;0;0,0
1995;29;1995,538462;1659;0;0,0
1995;30;1995,557692;1563;0;0,0
1995;31;1995,576923;1700;0;0,0
1995;32;1995,596154;1583;0;0,0
1995;33;1995,615385;1635;0;0,0
1995;34;1995,634615;1605;0;0,0
1995;35;1995,653846;1674;0;0,0
1995;36;1995,673077;1638;0;0,0
1995;37;1995,692308;1680;0;0,0
1995;38;1995,711538;1762;0;0,0
1995;39;1995,730769;1716;0;0,0
1995;40;1995,75;1735;0;0,0
1995;41;1995,769231;1719;0;0,0
1995;42;1995,788462;1665;0;0,0
1995;43;1995,807692;1649;0;0,0
1995;44;1995,826923;1670;1;0,0
1995;45;1995,846154;1829;2;0,0
1995;46;1995,865385;1771;6;0,0
1995;47;1995,884615;1843;4;0,0
1995;48;1995,903846;1784;12;0,0
1995;49;1995,923077;1854;33;0,0
1995;50;1995,942308;1849;78;0,0
1995;51;1995,961538;2120;117;5,5
1995;52;1995,980769;2530;90;8,0
1996;1;1996;2597;60;5,3
1996;2;1996,019231;2505;36;0,0
1996;3;1996,038462;2150;20;0,0
1996;4;1996,057692;1997;26;2,8
1996;5;1996,076923;2016;11;2,0
1996;6;1996,096154;1956;10;7,6
1996;7;1996,115385;1924;11;3,5
1996;8;1996,134615;1976;7;4,7
1996;9;1996,153846;1944;6;0,0
1996;10;1996,173077;1811;3;0,1
1996;11;1996,192308;1840;0;0,1
1996;12;1996,211538;1767;0;0,1
